,id,nome,Estado,Partido,foto
0,204379,Acácio Favacho,AP,MDB,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg
1,220714,Adail Filho,AM,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220714.jpg
2,221328,Adilson Barroso,SP,PL,https://www.camara.leg.br/internet/deputado/bandep/221328.jpg
3,204560,Adolfo Viana,BA,PSDB,https://www.camara.leg.br/internet/deputado/bandep/204560.jpg
4,204528,Adriana Ventura,SP,NOVO,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
5,121948,Adriano do Baldy,GO,PP,https://www.camara.leg.br/internet/deputado/bandep/121948.jpg
6,74646,Aécio Neves,MG,PSDB,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg
7,136811,Afonso Hamm,RS,PP,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg
8,178835,Afonso Motta,RS,PDT,https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
9,160527,Aguinaldo Ribeiro,PB,PP,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
10,204495,Airton Faleiro,PA,PT,https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
11,204549,AJ Albuquerque,CE,PP,https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
12,73579,Alberto Fraga,DF,PL,https://www.camara.leg.br/internet/deputado/bandep/73579.jpg
13,220538,Albuquerque,RR,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220538.jpg
14,160559,Alceu Moreira,RS,MDB,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
15,204501,Alencar Santana,SP,PT,https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
16,178972,Alex Manente,SP,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
17,204571,Alex Santana,BA,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/204571.jpg
18,220542,Alexandre Guimarães,TO,MDB,https://www.camara.leg.br/internet/deputado/bandep/220542.jpg
19,220554,Alexandre Lindenmeyer,RS,PT,https://www.camara.leg.br/internet/deputado/bandep/220554.jpg
20,221148,Alfredinho,SP,PT,https://www.camara.leg.br/internet/deputado/bandep/221148.jpg
21,220576,Alfredo Gaspar,AL,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220576.jpg
22,74057,Alice Portugal,BA,PCdoB,https://www.camara.leg.br/internet/deputado/bandep/74057.jpg
23,178927,Aliel Machado,PR,PV,https://www.camara.leg.br/internet/deputado/bandep/178927.jpg
24,226708,Allan Garcês,MA,PP,https://www.camara.leg.br/internet/deputado/bandep/226708.jpg
25,178937,Altineu Côrtes,RJ,PL,https://www.camara.leg.br/internet/deputado/bandep/178937.jpg
26,178881,Aluisio Mendes,MA,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/178881.jpg
27,220707,Amanda Gentil,MA,PP,https://www.camara.leg.br/internet/deputado/bandep/220707.jpg
28,204356,Amaro Neto,ES,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/204356.jpg
29,220715,Amom Mandel,AM,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/220715.jpg
30,107970,Ana Paula Leão,MG,PP,https://www.camara.leg.br/internet/deputado/bandep/107970.jpg
31,220556,Ana Paula Lima,SC,PT,https://www.camara.leg.br/internet/deputado/bandep/220556.jpg
32,220632,Ana Pimentel,MG,PT,https://www.camara.leg.br/internet/deputado/bandep/220632.jpg
33,178831,André Abdon,AP,PP,https://www.camara.leg.br/internet/deputado/bandep/178831.jpg
34,220657,André Fernandes,CE,PL,https://www.camara.leg.br/internet/deputado/bandep/220657.jpg
35,204423,André Ferreira,PE,PL,https://www.camara.leg.br/internet/deputado/bandep/204423.jpg
36,133439,André Figueiredo,CE,PDT,https://www.camara.leg.br/internet/deputado/bandep/133439.jpg
37,204515,André Janones,MG,AVANTE,https://www.camara.leg.br/internet/deputado/bandep/204515.jpg
38,220676,Andreia Siqueira,PA,MDB,https://www.camara.leg.br/internet/deputado/bandep/220676.jpg
39,123756,Antônia Lúcia,AC,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/123756.jpg
40,220544,Antonio Andrade,TO,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220544.jpg
41,160553,Antonio Brito,BA,PSD,https://www.camara.leg.br/internet/deputado/bandep/160553.jpg
42,220638,Antonio Carlos Rodrigues,SP,PL,https://www.camara.leg.br/internet/deputado/bandep/220638.jpg
43,220675,Antônio Doido,PA,MDB,https://www.camara.leg.br/internet/deputado/bandep/220675.jpg
44,220549,Any Ortiz,RS,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/220549.jpg
45,73433,Arlindo Chinaglia,SP,PT,https://www.camara.leg.br/internet/deputado/bandep/73433.jpg
46,141391,Arnaldo Jardim,SP,CIDADANIA,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
47,160541,Arthur Lira,AL,PP,https://www.camara.leg.br/internet/deputado/bandep/160541.jpg
48,160600,Arthur Oliveira Maia,BA,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg
49,74090,Átila Lins,AM,PSD,https://www.camara.leg.br/internet/deputado/bandep/74090.jpg
50,123086,Átila Lira,PI,PP,https://www.camara.leg.br/internet/deputado/bandep/123086.jpg
51,160665,Augusto Coutinho,PE,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/160665.jpg
52,160512,Aureo Ribeiro,RJ,SOLIDARIEDADE,https://www.camara.leg.br/internet/deputado/bandep/160512.jpg
53,69871,Bacelar,BA,PV,https://www.camara.leg.br/internet/deputado/bandep/69871.jpg
54,178975,Baleia Rossi,SP,MDB,https://www.camara.leg.br/internet/deputado/bandep/178975.jpg
55,220605,Bandeira de Mello,RJ,PSB,https://www.camara.leg.br/internet/deputado/bandep/220605.jpg
56,220612,Bebeto,RJ,PP,https://www.camara.leg.br/internet/deputado/bandep/220612.jpg
57,73701,Benedita da Silva,RJ,PT,https://www.camara.leg.br/internet/deputado/bandep/73701.jpg
58,109429,Benes Leocádio,RN,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/109429.jpg
59,204358,Beto Pereira,MS,PSDB,https://www.camara.leg.br/internet/deputado/bandep/204358.jpg
60,220683,Beto Richa,PR,PSDB,https://www.camara.leg.br/internet/deputado/bandep/220683.jpg
61,204374,Bia Kicis,DF,PL,https://www.camara.leg.br/internet/deputado/bandep/204374.jpg
62,204388,Bibo Nunes,RS,PL,https://www.camara.leg.br/internet/deputado/bandep/204388.jpg
63,160538,Bohn Gass,RS,PT,https://www.camara.leg.br/internet/deputado/bandep/160538.jpg
64,210989,Bruno Farias,MG,AVANTE,https://www.camara.leg.br/internet/deputado/bandep/210989.jpg
65,220635,Bruno Ganem,SP,PODE,https://www.camara.leg.br/internet/deputado/bandep/220635.jpg
66,220574,Cabo Gilberto Silva,PB,PL,https://www.camara.leg.br/internet/deputado/bandep/220574.jpg
67,143942,Caio Vianna,RJ,PSD,https://www.camara.leg.br/internet/deputado/bandep/143942.jpg
68,220548,Camila Jara,MS,PT,https://www.camara.leg.br/internet/deputado/bandep/220548.jpg
69,204572,Capitão Alberto Neto,AM,PL,https://www.camara.leg.br/internet/deputado/bandep/204572.jpg
70,220690,Capitão Alden,BA,PL,https://www.camara.leg.br/internet/deputado/bandep/220690.jpg
71,178829,Capitão Augusto,SP,PL,https://www.camara.leg.br/internet/deputado/bandep/178829.jpg
72,213762,Carla Dickson,RN,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/213762.jpg
73,204361,Carlos Chiodini,SC,MDB,https://www.camara.leg.br/internet/deputado/bandep/204361.jpg
74,178962,Carlos Gomes,RS,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/178962.jpg
75,178993,Carlos Henrique Gaguim,TO,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/178993.jpg
76,204460,Carlos Jordy,RJ,PL,https://www.camara.leg.br/internet/deputado/bandep/204460.jpg
77,74262,Carlos Sampaio,SP,PSD,https://www.camara.leg.br/internet/deputado/bandep/74262.jpg
78,204426,Carlos Veras,PE,PT,https://www.camara.leg.br/internet/deputado/bandep/204426.jpg
79,141398,Carlos Zarattini,SP,PT,https://www.camara.leg.br/internet/deputado/bandep/141398.jpg
80,220704,Carol Dartora,PR,PT,https://www.camara.leg.br/internet/deputado/bandep/220704.jpg
81,204369,Caroline de Toni,SC,PL,https://www.camara.leg.br/internet/deputado/bandep/204369.jpg
82,220699,Castro Neto,PI,PSD,https://www.camara.leg.br/internet/deputado/bandep/220699.jpg
83,206018,Célia Xakriabá,MG,PSOL,https://www.camara.leg.br/internet/deputado/bandep/206018.jpg
84,178876,Célio Silveira,GO,MDB,https://www.camara.leg.br/internet/deputado/bandep/178876.jpg
85,204488,Célio Studart,CE,PSD,https://www.camara.leg.br/internet/deputado/bandep/204488.jpg
86,73441,Celso Russomanno,SP,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/73441.jpg
87,204496,Celso Sabino,PA,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/204496.jpg
88,204504,Cezinha de Madureira,SP,PSD,https://www.camara.leg.br/internet/deputado/bandep/204504.jpg
89,205476,Charles Fernandes,BA,PSD,https://www.camara.leg.br/internet/deputado/bandep/205476.jpg
90,74171,Chico Alencar,RJ,PSOL,https://www.camara.leg.br/internet/deputado/bandep/74171.jpg
91,204462,Chris Tonietto,RJ,PL,https://www.camara.leg.br/internet/deputado/bandep/204462.jpg
92,220665,Clarissa Tércio,PE,PP,https://www.camara.leg.br/internet/deputado/bandep/220665.jpg
93,74537,Claudio Cajado,BA,PP,https://www.camara.leg.br/internet/deputado/bandep/74537.jpg
94,141408,Cleber Verde,MA,MDB,https://www.camara.leg.br/internet/deputado/bandep/141408.jpg
95,88256,Clodoaldo Magalhães,PE,PV,https://www.camara.leg.br/internet/deputado/bandep/88256.jpg
96,98148,Cobalchini,SC,MDB,https://www.camara.leg.br/internet/deputado/bandep/98148.jpg
97,220594,Coronel Assis,MT,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220594.jpg
98,204378,Coronel Chrisóstomo,RO,PL,https://www.camara.leg.br/internet/deputado/bandep/204378.jpg
99,220595,Coronel Fernanda,MT,PL,https://www.camara.leg.br/internet/deputado/bandep/220595.jpg
100,220666,Coronel Meira,PE,PL,https://www.camara.leg.br/internet/deputado/bandep/220666.jpg
101,220590,Coronel Ulysses,AC,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220590.jpg
102,178963,Covatti Filho,RS,PP,https://www.camara.leg.br/internet/deputado/bandep/178963.jpg
103,220608,Cristiane Lopes,RO,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220608.jpg
104,234840,Cristiano Furlan,AP,REDE,https://www.camara.leg.br/internet/deputado/bandep/234840.jpg
105,204355,Da Vitoria,ES,PP,https://www.camara.leg.br/internet/deputado/bandep/204355.jpg
106,141411,Dagoberto Nogueira,MS,PSDB,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg
107,220555,Daiana Santos,RS,PCdoB,https://www.camara.leg.br/internet/deputado/bandep/220555.jpg
108,220692,Dal Barreto,BA,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220692.jpg
109,74467,Damião Feliciano,PB,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/74467.jpg
110,220629,Dandara,MG,PT,https://www.camara.leg.br/internet/deputado/bandep/220629.jpg
111,220603,Dani Cunha,RJ,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220603.jpg
112,220571,Daniel Agrobom,GO,PL,https://www.camara.leg.br/internet/deputado/bandep/220571.jpg
113,74060,Daniel Almeida,BA,PCdoB,https://www.camara.leg.br/internet/deputado/bandep/74060.jpg
114,220582,Daniel Barbosa,AL,PP,https://www.camara.leg.br/internet/deputado/bandep/220582.jpg
115,204367,Daniel Freitas,SC,PL,https://www.camara.leg.br/internet/deputado/bandep/204367.jpg
116,204409,Daniel Trzeciak,RS,PSDB,https://www.camara.leg.br/internet/deputado/bandep/204409.jpg
117,204459,Daniela do Waguinho,RJ,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/204459.jpg
118,220557,Daniela Reinehr,SC,PL,https://www.camara.leg.br/internet/deputado/bandep/220557.jpg
119,62881,Danilo Forte,CE,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/62881.jpg
120,160552,Danrlei de Deus Hinterholz,RS,PSD,https://www.camara.leg.br/internet/deputado/bandep/160552.jpg
121,204511,David Soares,SP,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/204511.jpg
122,220539,Defensor Stélio Dener,RR,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220539.jpg
123,220565,Delegada Adriana Accorsi,GO,PT,https://www.camara.leg.br/internet/deputado/bandep/220565.jpg
124,220625,Delegada Ione,MG,AVANTE,https://www.camara.leg.br/internet/deputado/bandep/220625.jpg
125,220561,Delegada Katarina,SE,PSD,https://www.camara.leg.br/internet/deputado/bandep/220561.jpg
126,220642,Delegado Bruno Lima,SP,PP,https://www.camara.leg.br/internet/deputado/bandep/220642.jpg
127,220673,Delegado Caveira,PA,PL,https://www.camara.leg.br/internet/deputado/bandep/220673.jpg
128,220649,Delegado da Cunha,SP,PP,https://www.camara.leg.br/internet/deputado/bandep/220649.jpg
129,178908,Delegado Éder Mauro,PA,PL,https://www.camara.leg.br/internet/deputado/bandep/178908.jpg
130,220583,Delegado Fabio Costa,AL,PP,https://www.camara.leg.br/internet/deputado/bandep/220583.jpg
131,204512,Delegado Marcelo Freitas,MG,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/204512.jpg
132,220701,Delegado Matheus Laiola,PR,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220701.jpg
133,220652,Delegado Palumbo,SP,MDB,https://www.camara.leg.br/internet/deputado/bandep/220652.jpg
134,220654,Delegado Paulo Bilynskyj,SP,PL,https://www.camara.leg.br/internet/deputado/bandep/220654.jpg
135,220553,Denise Pessôa,RS,PT,https://www.camara.leg.br/internet/deputado/bandep/220553.jpg
136,160588,Diego Andrade,MG,PSD,https://www.camara.leg.br/internet/deputado/bandep/160588.jpg
137,220691,Diego Coronel,BA,PSD,https://www.camara.leg.br/internet/deputado/bandep/220691.jpg
138,178929,Diego Garcia,PR,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/178929.jpg
139,73768,Dilceu Sperafico,PR,PP,https://www.camara.leg.br/internet/deputado/bandep/73768.jpg
140,220671,Dilvanda Faro,PA,PT,https://www.camara.leg.br/internet/deputado/bandep/220671.jpg
141,160599,Dimas Fabiano,MG,PP,https://www.camara.leg.br/internet/deputado/bandep/160599.jpg
142,220602,Dimas Gadelha,RJ,PT,https://www.camara.leg.br/internet/deputado/bandep/220602.jpg
143,143632,Domingos Neto,CE,PSD,https://www.camara.leg.br/internet/deputado/bandep/143632.jpg
144,160758,Domingos Sávio,MG,PL,https://www.camara.leg.br/internet/deputado/bandep/160758.jpg
145,220573,Dorinaldo Malafaia,AP,PDT,https://www.camara.leg.br/internet/deputado/bandep/220573.jpg
146,227433,Douglas Viegas,SP,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/227433.jpg
147,204450,Doutor Luizinho,RJ,PP,https://www.camara.leg.br/internet/deputado/bandep/204450.jpg
148,227991,Dr Flávio,RJ,PL,https://www.camara.leg.br/internet/deputado/bandep/227991.jpg
149,220610,Dr. Fernando Máximo,RO,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220610.jpg
150,220688,Dr. Francisco,PI,PT,https://www.camara.leg.br/internet/deputado/bandep/220688.jpg
151,204518,Dr. Frederico,MG,PRD,https://www.camara.leg.br/internet/deputado/bandep/204518.jpg
152,220570,Dr. Ismael Alexandrino,GO,PSD,https://www.camara.leg.br/internet/deputado/bandep/220570.jpg
153,204481,Dr. Jaziel,CE,PL,https://www.camara.leg.br/internet/deputado/bandep/204481.jpg
154,204351,Dr. Luiz Ovando,MS,PP,https://www.camara.leg.br/internet/deputado/bandep/204351.jpg
155,220528,Dr. Victor Linhalis,ES,PODE,https://www.camara.leg.br/internet/deputado/bandep/220528.jpg
156,204412,Dr. Zacharias Calil,GO,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/204412.jpg
157,220674,Dra. Alessandra Haber,PA,MDB,https://www.camara.leg.br/internet/deputado/bandep/220674.jpg
158,220686,Duarte Jr.,MA,PSB,https://www.camara.leg.br/internet/deputado/bandep/220686.jpg
159,220540,Duda Ramos,RR,MDB,https://www.camara.leg.br/internet/deputado/bandep/220540.jpg
160,220623,Duda Salabert,MG,PDT,https://www.camara.leg.br/internet/deputado/bandep/220623.jpg
161,141421,Eduardo da Fonte,PE,PP,https://www.camara.leg.br/internet/deputado/bandep/141421.jpg
162,220589,Eduardo Velloso,AC,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220589.jpg
163,74075,Elcione Barbalho,PA,MDB,https://www.camara.leg.br/internet/deputado/bandep/74075.jpg
164,204364,Eli Borges,TO,PL,https://www.camara.leg.br/internet/deputado/bandep/204364.jpg
165,229585,Elisangela Araujo,BA,PT,https://www.camara.leg.br/internet/deputado/bandep/229585.jpg
166,178854,Elmar Nascimento,BA,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/178854.jpg
167,218086,Ely Santos,SP,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/218086.jpg
168,198783,Emanuel Pinheiro Neto,MT,MDB,https://www.camara.leg.br/internet/deputado/bandep/198783.jpg
169,161550,Emidinho Madeira,MG,PL,https://www.camara.leg.br/internet/deputado/bandep/161550.jpg
170,225730,Enfermeira Ana Paula,CE,PODE,https://www.camara.leg.br/internet/deputado/bandep/225730.jpg
171,230765,Enfermeira Rejane,RJ,PCdoB,https://www.camara.leg.br/internet/deputado/bandep/230765.jpg
172,220663,Eriberto Medeiros,PE,PSB,https://www.camara.leg.br/internet/deputado/bandep/220663.jpg
173,220645,Erika Hilton,SP,PSOL,https://www.camara.leg.br/internet/deputado/bandep/220645.jpg
174,160575,Erika Kokay,DF,PT,https://www.camara.leg.br/internet/deputado/bandep/160575.jpg
175,160640,Eros Biondini,MG,PL,https://www.camara.leg.br/internet/deputado/bandep/160640.jpg
176,204482,Euclydes Pettersen,MG,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/204482.jpg
177,74454,Eunício Oliveira,CE,MDB,https://www.camara.leg.br/internet/deputado/bandep/74454.jpg
178,178871,Evair Vieira de Melo,ES,PP,https://www.camara.leg.br/internet/deputado/bandep/178871.jpg
179,234388,Fabiano Cazeca,MG,PRD,https://www.camara.leg.br/internet/deputado/bandep/234388.jpg
180,220681,Fábio Macedo,MA,PODE,https://www.camara.leg.br/internet/deputado/bandep/220681.jpg
181,171623,Fabio Reis,SE,PSD,https://www.camara.leg.br/internet/deputado/bandep/171623.jpg
182,204368,Fabio Schiochet,SC,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/204368.jpg
183,220653,Fábio Teruel,SP,MDB,https://www.camara.leg.br/internet/deputado/bandep/220653.jpg
184,74065,Fatima Pelaes,AP,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/74065.jpg
185,220712,Fausto Jr.,AM,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220712.jpg
186,66828,Fausto Pinato,SP,PP,https://www.camara.leg.br/internet/deputado/bandep/66828.jpg
187,220646,Felipe Becari,SP,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220646.jpg
188,72442,Felipe Carreras,PE,PSB,https://www.camara.leg.br/internet/deputado/bandep/72442.jpg
189,204398,Felipe Francischini,PR,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/204398.jpg
190,160666,Félix Mendonça Júnior,BA,PDT,https://www.camara.leg.br/internet/deputado/bandep/160666.jpg
191,204407,Fernanda Melchionna,RS,PSOL,https://www.camara.leg.br/internet/deputado/bandep/204407.jpg
192,141431,Fernando Coelho Filho,PE,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/141431.jpg
193,204445,Fernando Mineiro,RN,PT,https://www.camara.leg.br/internet/deputado/bandep/204445.jpg
194,92699,Fernando Monteiro,PE,PSD,https://www.camara.leg.br/internet/deputado/bandep/92699.jpg
195,204427,Fernando Rodolfo,PE,PL,https://www.camara.leg.br/internet/deputado/bandep/204427.jpg
196,204411,Filipe Barros,PR,PL,https://www.camara.leg.br/internet/deputado/bandep/204411.jpg
197,220545,Filipe Martins,TO,PL,https://www.camara.leg.br/internet/deputado/bandep/220545.jpg
198,160598,Flávia Morais,GO,PDT,https://www.camara.leg.br/internet/deputado/bandep/160598.jpg
199,191923,Flávio Nogueira,PI,PT,https://www.camara.leg.br/internet/deputado/bandep/191923.jpg
200,220700,Florentino Neto,PI,PT,https://www.camara.leg.br/internet/deputado/bandep/220700.jpg
201,220551,Franciane Bayer,RS,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220551.jpg
202,204494,Fred Costa,MG,PRD,https://www.camara.leg.br/internet/deputado/bandep/204494.jpg
203,220534,Fred Linhares,DF,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/220534.jpg
204,224117,Gabriel Mota,RR,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/224117.jpg
205,220708,Gabriel Nunes,BA,PSD,https://www.camara.leg.br/internet/deputado/bandep/220708.jpg
206,204473,General Girão,RN,PL,https://www.camara.leg.br/internet/deputado/bandep/204473.jpg
207,220611,General Pazuello,RJ,PL,https://www.camara.leg.br/internet/deputado/bandep/220611.jpg
208,178966,Geovania de Sá,SC,PSDB,https://www.camara.leg.br/internet/deputado/bandep/178966.jpg
209,220702,Geraldo Mendes,PR,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/220702.jpg
210,74374,Geraldo Resende,MS,PSDB,https://www.camara.leg.br/internet/deputado/bandep/74374.jpg
211,204394,Gervásio Maia,PB,PSB,https://www.camara.leg.br/internet/deputado/bandep/204394.jpg
212,74383,Giacobo,PR,PL,https://www.camara.leg.br/internet/deputado/bandep/74383.jpg
213,204491,Gilberto Abramo,MG,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/204491.jpg
214,74270,Gilberto Nascimento,SP,PSD,https://www.camara.leg.br/internet/deputado/bandep/74270.jpg
215,220529,Gilson Daniel,ES,PODE,https://www.camara.leg.br/internet/deputado/bandep/220529.jpg
216,204365,Gilson Marques,SC,NOVO,https://www.camara.leg.br/internet/deputado/bandep/204365.jpg
217,220526,Gilvan da Federal,ES,PL,https://www.camara.leg.br/internet/deputado/bandep/220526.jpg
218,160673,Giovani Cherini,RS,PL,https://www.camara.leg.br/internet/deputado/bandep/160673.jpg
219,226179,Gisela Simona,MT,UNIÃO,https://www.camara.leg.br/internet/deputado/bandep/226179.jpg
220,204419,Glaustin da Fokus,GO,PODE,https://www.camara.leg.br/internet/deputado/bandep/204419.jpg
221,129618,Gorete Pereira,CE,MDB,https://www.camara.leg.br/internet/deputado/bandep/129618.jpg
222,198197,Greyce Elias,MG,AVANTE,https://www.camara.leg.br/internet/deputado/bandep/198197.jpg
223,204531,Guilherme Derrite,SP,PP,https://www.camara.leg.br/internet/deputado/bandep/204531.jpg
224,220664,Guilherme Uchoa,PE,PSB,https://www.camara.leg.br/internet/deputado/bandep/220664.jpg
225,220568,Gustavo Gayer,GO,PL,https://www.camara.leg.br/internet/deputado/bandep/220568.jpg
226,204408,Gustinho Ribeiro,SE,REPUBLICANOS,https://www.camara.leg.br/internet/deputado/bandep/204408.jpg
227,204456,Gutemberg Reis,RJ,MDB,https://www.camara.leg.br/internet/deputado/bandep/204456.jpg
